SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RBIRTH2011,RBIRTH2012,RBIRTH2013,RDEATH2011,RDEATH2012,RDEATH2013,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RNETMIG2011,RNETMIG2012,RNETMIG2013
10,0,0,0,United States,308745538,308747716,309326295,311582564,313873685,316128839,578579,2256269,2291121,2255154,987836,3973485,3953272,3952937,598716,2492125,2528253,2540928,389120,1481360,1425019,1412009,189459,774909,866102,843145,0,0,0,0,189459,774909,866102,843145,0,0,0,0,12.79893157,12.64124231,12.54895607,8.027345604,8.084507922,8.066405778,4.77158597,4.556734391,4.482550295,2.496047492,2.769504666,2.67664007,0,0,0,2.496047492,2.769504666,2.67664007
20,1,0,0,Northeast Region,55317240,55317261,55376322,55598499,55771792,55943073,59061,222177,173293,171281,158644,646247,640774,640702,110689,464778,471640,471058,47955,181469,169134,169644,48351,211854,224127,227173,-34979,-163149,-217750,-208633,13372,48705,6377,18540,-2266,-7997,-2218,-16903,11.64673201,11.50709034,11.47030881,8.376278435,8.469763269,8.433219697,3.270453574,3.037327073,3.037089111,3.818055269,4.024897448,4.067014716,-2.94028859,-3.910378577,-3.735098279,0.877766678,0.114518871,0.331916437
20,2,0,0,Midwest Region,66927001,66927549,66976321,67146663,67321425,67547890,48772,170342,174762,226465,208628,834897,832007,827949,140782,580757,579538,576261,67846,254140,252469,251688,25309,103138,111947,110489,-43801,-185260,-188786,-127900,-18492,-82122,-76839,-17411,-582,-1676,-868,-7812,12.44972301,12.37478739,12.27779647,8.660066794,8.619710574,8.545472334,3.789656216,3.755076818,3.732324139,1.537961607,1.665034458,1.638460164,-2.762539193,-2.807892978,-1.896650843,-1.224577586,-1.14285852,-0.258190679
20,3,0,0,South Region,114555744,114557273,114857899,116032322,117253992,118383453,300626,1174423,1221670,1129461,377273,1509617,1511382,1510183,228954,957769,972281,983638,148319,551848,539101,526545,71117,281346,327943,309637,79640,325732,349840,280755,150757,607078,677783,590392,1550,15497,4786,12524,13.07649145,12.9573139,12.81785244,8.296314983,8.335516845,8.348741008,4.780176463,4.621797059,4.469111435,2.437054274,2.811506551,2.62807976,2.821531363,2.999232951,2.382940453,5.258585638,5.810739502,5.011020214
20,4,0,0,West Region,71945553,71945633,72115753,72805080,73526476,74254423,170120,689327,721396,727947,243291,982724,969109,974103,118291,488821,504794,509971,125000,493903,464315,464132,44682,178571,202085,195846,-860,22677,56696,55778,43822,201248,258781,251624,1298,-5824,-1700,12191,13.56221848,13.24538639,13.18307043,6.74604182,6.899318422,6.901717386,6.816176664,6.346067966,6.281353046,2.464393784,2.762015324,2.650491387,0.312957075,0.774897794,0.754874282,2.777350859,3.536913118,3.405365669
40,3,6,1,Alabama,4779736,4779758,4785570,4801627,4817528,4833722,5812,16057,15901,16194,14966,59700,59356,58858,11090,48424,48596,48922,3876,11276,10760,9936,1426,4931,5732,5256,542,-154,-759,451,1968,4777,4973,5707,-32,4,168,551,12.45410937,12.34120877,12.1969693,10.10180556,10.10400602,10.1379614,2.352303807,2.237202748,2.059007901,1.02866354,1.191788676,1.089185339,-0.032126178,-0.157810119,0.093459397,0.996537361,1.033978556,1.182644735
40,4,9,2,Alaska,710231,710231,713868,723375,730307,735132,3637,9507,6932,4825,2753,11720,11349,11610,807,3769,3998,4113,1946,7951,7351,7497,529,1164,2442,1828,1135,165,-2870,-4006,1664,1329,-428,-2178,27,227,9,-494,16.30900272,15.61414395,15.84508124,5.24476376,5.500515243,5.61333498,11.06423896,10.1136287,10.23174626,1.619767847,3.359744428,2.494815547,0.229606267,-3.948593984,-5.467303654,1.849374114,-0.588849556,-2.972488108
40,4,8,4,Arizona,6392017,6392015,6408790,6468796,6551149,6626624,16775,60006,82353,75475,22278,86101,86127,85994,11486,47605,49898,50274,10792,38496,36229,35720,2403,10291,11244,10864,3311,10247,34729,26417,5714,20538,45973,37281,269,972,151,2474,13.37222675,13.2300098,13.05137067,7.393466446,7.664855727,7.63012081,5.978760305,5.565154077,5.421249858,1.59828092,1.727196236,1.648837023,1.591447341,5.334738357,4.009326917,3.189728261,7.061934593,5.65816394
40,3,7,5,Arkansas,2915918,2915916,2922280,2938506,2949828,2959373,6364,16226,11322,9545,9390,38452,38847,38464,7013,29216,28869,28793,2377,9236,9978,9671,763,2760,3129,2965,3125,3920,-1928,-2031,3888,6680,1201,934,99,310,143,-1060,13.12178947,13.19456403,13.01834207,9.969993786,9.805489974,9.745141517,3.151795681,3.389074057,3.273200556,0.941853192,1.062779387,1.003519765,1.337704533,-0.654854157,-0.687402578,2.279557725,0.40792523,0.316117187
40,4,9,6,California,37253956,37253959,37333601,37668681,37999878,38332521,79642,335080,331197,332643,125963,509751,500548,503634,57346,237652,246860,250567,68617,272099,253688,253067,27774,114286,123889,123217,-17495,-42964,-44133,-49259,10279,71322,79756,73958,746,-8341,-2247,5618,13.59294641,13.23001275,13.19581217,6.337193847,6.524770744,6.565154594,7.255752565,6.705242002,6.63065758,3.04753394,3.274517227,3.22843253,-1.145671808,-1.166481841,-1.290644619,1.901862133,2.108035386,1.937787911
40,4,8,8,Colorado,5029196,5029196,5048196,5118400,5189458,5268367,19000,70204,71058,78909,16315,65927,65237,65831,7835,32026,32824,33159,8480,33901,32413,32672,2050,7301,9609,8573,7963,27147,28558,36284,10013,34448,38167,44857,507,1855,478,1380,12.96933605,12.65772191,12.58980715,6.300240513,6.368733446,6.341471578,6.669095536,6.288988459,6.248335577,1.436272278,1.864402866,1.639537858,5.340430563,5.541015408,6.939110188,6.776702841,7.405418274,8.578648046
